Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Cover_Type
2991,7,67,11,1015,233,234,1570,1
2876,18,485,71,2495,192,202,1557,1
3171,2,277,9,4374,213,237,1052,0
3087,13,190,31,4774,193,221,752,0
2835,10,212,41,3596,231,242,3280,1
3185,7,470,68,883,222,225,2187,0
3157,29,361,95,1756,248,179,2766,1
3152,7,0,0,5549,201,235,2100,1
3302,23,309,-30,806,252,212,3537,1
2370,14,162,68,1057,219,250,108,2
2998,9,0,0,319,233,224,955,0
2889,25,218,89,2356,148,241,1443,0
3058,6,313,11,3874,228,228,2081,1
3143,18,95,8,4687,197,202,3104,0
3021,14,680,23,5810,187,249,4353,1
2946,12,30,-3,4595,238,235,3221,0
3206,15,458,104,339,240,236,4441,1
3125,23,162,63,1380,212,184,365,0
2716,22,150,62,2099,162,210,2582,1
2302,15,60,12,1055,226,206,834,2
3255,16,618,147,6047,178,246,2790,1
3448,12,604,94,1879,194,221,469,6
2281,12,335,71,768,194,249,677,2
3046,15,60,13,743,244,224,1451,1
3227,11,150,-19,1422,218,216,1575,0
2975,13,391,56,5028,223,210,5662,0
3212,9,443,72,767,234,238,2532,0
3427,19,579,79,4106,193,200,3502,6
2752,26,242,128,2820,249,189,6482,1
2618,13,335,29,1466,210,213,4236,1
3221,7,150,18,1846,219,224,1374,0
2774,16,391,33,1538,229,204,2434,1
3152,6,437,-9,4012,230,231,4524,0
3254,27,268,97,2510,206,249,1074,0
2438,14,335,3,845,233,242,1182,2
3132,13,30,0,558,191,220,2113,0
3067,15,437,122,1637,208,206,3305,0
2887,16,192,24,2888,211,204,2208,1
3104,5,90,1,1064,217,244,1827,0
2646,24,180,88,1132,219,179,1015,1
3146,39,300,150,547,93,178,2123,1
2733,6,90,-2,1194,231,234,726,1
3014,21,285,115,5432,180,253,834,1
2859,15,426,219,1560,194,252,1436,1
2702,8,120,8,671,233,238,1614,0
3162,9,384,-54,2713,199,229,1579,0
3088,17,175,39,3372,246,217,787,0
1945,23,30,16,330,160,205,684,5
2998,18,300,-23,1436,188,206,810,0
3287,27,162,46,2336,177,253,2888,1
3266,23,210,38,511,173,253,1279,0
3056,16,499,197,1538,214,203,3320,0
2949,7,30,-2,4849,222,224,6035,1
2314,5,272,69,323,210,232,741,1
